customer_id,customer_name,email,phone,city,region,preferred_category,priority_tier,total_orders,total_amount,loyalty_tier,registration_date,is_active,last_updated
U1052,Meera Tiwari,meera.tiwari88@email.com,9966616964,Patna,East,Books,Low,2,10243.04,Silver,2023-11-01,Y,2024-01-01
U1053,Deepak Tiwari,deepak.tiwari94@email.com,9211225158,Patna,East,Grocery,Medium,7,94086.43,Platinum,2022-05-18,Y,2024-01-01
U1054,Vihaan Singh,vihaan.singh29@email.com,9392431670,Agra,North,Clothing,High,5,24116.09,Gold,2022-10-16,Y,2024-01-01
U1055,Suresh Bose,suresh.bose97@email.com,9781007818,Jaipur,North,Books,High,6,65370.58,Platinum,2022-09-28,N,2024-01-01
U1056,Ananya Verma,ananya.verma91@email.com,9554811020,Mumbai,West,Electronics,Medium,7,45517.35,Gold,2022-10-11,Y,2024-01-01
U1057,Aarav Bose,aarav.bose91@email.com,9381272327,Bhubaneswar,East,Grocery,High,8,57140.12,Platinum,2022-06-15,N,2024-01-01
U1058,Rohan Das,rohan.das81@email.com,9110382761,Guwahati,East,Furniture,Low,4,64144.43,Platinum,2022-04-25,Y,2024-01-01
U1059,Shreya Das,shreya.das79@email.com,9138684919,Bhubaneswar,East,Grocery,Medium,4,15184.59,Silver,2023-01-14,Y,2024-01-01
U1060,Priya Kumar,priya.kumar49@email.com,9491541578,Delhi,North,Books,Low,2,5636.67,Bronze,2022-02-10,Y,2024-01-01
U1061,Ishaan Srivastava,ishaan.srivastava95@email.com,9210373808,Pune,West,Clothing,Low,8,74205.31,Platinum,2022-12-29,N,2024-01-01
U1062,Nikhil Roy,nikhil.roy40@email.com,9274484941,Bhubaneswar,East,Clothing,High,2,4121.59,Bronze,2022-07-01,N,2024-01-01
U1063,Aarav Joshi,aarav.joshi62@email.com,9961393416,Chandigarh,North,Electronics,Medium,3,30218.57,Gold,2023-11-17,Y,2024-01-01
U1064,Ananya Joshi,ananya.joshi58@email.com,9141580226,Delhi,North,Books,High,3,13150.85,Silver,2023-04-27,Y,2024-01-01
U1065,Ishaan Shah,ishaan.shah49@email.com,9981044229,Chandigarh,North,Electronics,High,2,19793.1,Silver,2022-08-22,Y,2024-01-01
U1066,Aarav Srivastava,aarav.srivastava61@email.com,9452468587,Bhubaneswar,East,Grocery,Medium,6,30390.83,Gold,2022-10-13,Y,2024-01-01
U1067,Kavya Reddy,kavya.reddy92@email.com,9646970178,Hyderabad,South,Clothing,Low,3,14969.09,Silver,2023-02-14,Y,2024-01-01
U1068,Aarav Singh,aarav.singh32@email.com,9723403479,Ahmedabad,West,Books,High,8,51808.21,Platinum,2022-09-29,Y,2024-01-01
U1069,Vihaan Mishra,vihaan.mishra54@email.com,9882269302,Guwahati,East,Clothing,Low,4,14306.9,Silver,2022-11-18,N,2024-01-01
U1070,Nikhil Pillai,nikhil.pillai59@email.com,9719106699,Delhi,North,Furniture,High,4,41260.97,Gold,2022-07-14,Y,2024-01-01
U1071,Vivaan Das,vivaan.das10@email.com,9658260221,Guwahati,East,Electronics,High,3,19487.79,Silver,2023-07-06,Y,2024-01-01
U1072,Myra Gupta,myra.gupta95@email.com,9454549587,Bengaluru,South,Clothing,High,6,33217.71,Gold,2023-10-01,Y,2024-01-01
U1073,Deepak Singh,deepak.singh74@email.com,9432091877,Patna,East,Electronics,Low,3,33945.58,Gold,2023-11-14,N,2024-01-01
U1074,Aadhya Malhotra,aadhya.malhotra80@email.com,9236674237,Patna,East,Books,Low,4,29119.5,Gold,2022-07-16,N,2024-01-01
U1075,Deepak Malhotra,deepak.malhotra88@email.com,9711072118,Bhubaneswar,East,Clothing,Low,6,46207.3,Gold,2022-11-05,N,2024-01-01
U1076,Rohan Sharma,rohan.sharma46@email.com,9325681936,Hyderabad,South,Clothing,High,6,36168.74,Gold,2023-03-17,Y,2024-01-01
U1077,Sneha Shah,sneha.shah96@email.com,9329460134,Kochi,South,Books,High,8,72336.56,Platinum,2023-06-08,N,2024-01-01
U1078,Divya Roy,divya.roy94@email.com,9191048514,Bhubaneswar,East,Clothing,Medium,3,9615.86,Silver,2022-10-18,Y,2024-01-01
U1079,Aditya Rao,aditya.rao38@email.com,9966040317,Patna,East,Books,High,5,21231.66,Gold,2022-07-23,Y,2024-01-01
U1080,Aarav Verma,aarav.verma70@email.com,9756350429,Jaipur,North,Books,Medium,6,38414.84,Gold,2022-03-16,N,2024-01-01
U1081,Priya Agarwal,priya.agarwal34@email.com,9871318048,Ranchi,East,Furniture,Low,5,27601.08,Gold,2023-12-15,N,2024-01-01
U1082,Pooja Malhotra,pooja.malhotra28@email.com,9804436922,Bhubaneswar,East,Books,High,4,18685.2,Silver,2023-12-06,Y,2024-01-01
U1083,Shreya Singh,shreya.singh38@email.com,9288856883,Kochi,South,Clothing,Low,7,58021.56,Platinum,2023-12-14,N,2024-01-01
U1084,Vivaan Tiwari,vivaan.tiwari25@email.com,9590122159,Bhubaneswar,East,Books,Low,3,22071.74,Gold,2022-05-17,N,2024-01-01
U1085,Deepak Pillai,deepak.pillai86@email.com,9440696084,Coimbatore,South,Books,High,10,71903.62,Platinum,2023-03-30,N,2024-01-01
U1086,Meera Tiwari,meera.tiwari30@email.com,9898493949,Surat,West,Grocery,High,3,17717.29,Silver,2023-05-02,N,2024-01-01
U1087,Ananya Rao,ananya.rao76@email.com,9620332086,Hyderabad,South,Books,Low,4,42230.65,Gold,2023-10-04,Y,2024-01-01
U1088,Ananya Shah,ananya.shah46@email.com,9351785565,Delhi,North,Clothing,Medium,2,19389.88,Silver,2022-10-06,Y,2024-01-01
U1089,Aadhya Tiwari,aadhya.tiwari27@email.com,9261953189,Bengaluru,South,Clothing,Low,2,32097.96,Gold,2022-08-25,N,2024-01-01
U1090,Suresh Kumar,suresh.kumar18@email.com,9545461013,Bhubaneswar,East,Books,Low,3,24074.7,Gold,2023-02-22,Y,2024-01-01
U1091,Rohan Shah,rohan.shah17@email.com,9322086735,Guwahati,East,Electronics,Low,3,27731.24,Gold,2023-03-07,N,2024-01-01
U1092,Shreya Pandey,shreya.pandey83@email.com,9508431021,Bengaluru,South,Grocery,Medium,4,21383.66,Gold,2023-05-04,Y,2024-01-01
U1093,Myra Nair,myra.nair63@email.com,9677909930,Lucknow,North,Books,Medium,5,27925.47,Gold,2023-07-14,Y,2024-01-01
U1094,Pooja Rao,pooja.rao65@email.com,9621454127,Hyderabad,South,Toys,High,4,21759.35,Gold,2022-01-30,N,2024-01-01
U1095,Aadhya Srivastava,aadhya.srivastava31@email.com,9601856351,Kochi,South,Books,Low,5,29131.32,Gold,2022-05-11,Y,2024-01-01
U1096,Tanvi Malhotra,tanvi.malhotra82@email.com,9811890569,Coimbatore,South,Electronics,High,7,66850.42,Platinum,2022-01-28,Y,2024-01-01
U1097,Amit Gupta,amit.gupta69@email.com,9295130056,Bhubaneswar,East,Toys,High,3,15079.28,Silver,2022-02-21,Y,2024-01-01
U1098,Riya Bose,riya.bose68@email.com,9450948014,Jaipur,North,Grocery,Medium,8,72313.04,Platinum,2022-12-12,N,2024-01-01
U1099,Ananya Gupta,ananya.gupta20@email.com,9604988121,Chandigarh,North,Furniture,Low,5,36240.52,Gold,2022-01-20,Y,2024-01-01
U1100,Myra Rao,myra.rao93@email.com,9143226844,Delhi,North,Clothing,Low,5,30847.05,Gold,2022-02-01,Y,2024-01-01
U1101,Ishaan Sharma,ishaan.sharma29@email.com,9356135680,Coimbatore,South,Books,Low,5,20512.56,Gold,2022-05-10,N,2024-01-01
U1102,Deepak Singh,deepak.singh37@email.com,9599326438,Agra,North,Grocery,High,7,28042.14,Gold,2023-12-18,Y,2024-01-01
U1103,Kavya Kapoor,kavya.kapoor87@email.com,9752027025,Jaipur,North,Furniture,Low,3,39053.18,Gold,2022-04-28,Y,2024-01-01
U1104,Diya Singh,diya.singh13@email.com,9434961542,Agra,North,Books,High,3,16153.69,Silver,2023-08-13,N,2024-01-01
U1105,Riya Das,riya.das19@email.com,9735760237,Jaipur,North,Electronics,High,2,8818.73,Silver,2023-12-09,Y,2024-01-01
U1106,Vihaan Das,vihaan.das97@email.com,9744687060,Ahmedabad,West,Furniture,Medium,10,98212.46,Platinum,2022-05-04,Y,2024-01-01
U1107,Myra Tiwari,myra.tiwari94@email.com,9497897455,Kochi,South,Books,Low,5,27456.34,Gold,2022-03-12,Y,2024-01-01
U1108,Aarav Gupta,aarav.gupta23@email.com,9565492204,Lucknow,North,Electronics,Medium,7,52379.16,Platinum,2023-01-06,N,2024-01-01
U1109,Suresh Kumar,suresh.kumar32@email.com,9887906704,Kochi,South,Grocery,Medium,4,41223.81,Gold,2023-06-19,Y,2024-01-01
U1110,Nikhil Tiwari,nikhil.tiwari69@email.com,9567694547,Guwahati,East,Grocery,Low,5,39079.0,Gold,2023-08-30,Y,2024-01-01
U1111,Aadhya Rao,aadhya.rao45@email.com,9584044963,Mumbai,West,Clothing,Low,5,25259.09,Gold,2022-09-07,N,2024-01-01
U1112,Karan Mishra,karan.mishra53@email.com,9130816384,Kochi,South,Furniture,Medium,5,29442.87,Gold,2023-05-22,Y,2024-01-01
U1113,Sai Iyer,sai.iyer55@email.com,9956665975,Chennai,South,Clothing,Low,6,43403.59,Gold,2022-09-22,Y,2024-01-01
U1114,Ananya Mishra,ananya.mishra81@email.com,9110899674,Chandigarh,North,Books,High,5,42444.14,Gold,2023-06-14,Y,2024-01-01
U1115,Aditya Rao,aditya.rao72@email.com,9696115913,Surat,West,Electronics,Medium,6,52481.99,Platinum,2022-09-04,N,2024-01-01
U1116,Amit Das,amit.das67@email.com,9951405188,Surat,West,Books,Low,6,39296.88,Gold,2022-01-18,Y,2024-01-01
U1117,Diya Rao,diya.rao98@email.com,9361246928,Lucknow,North,Grocery,Low,3,10495.26,Silver,2022-11-10,Y,2024-01-01
U1118,Pooja Tiwari,pooja.tiwari54@email.com,9556881239,Ranchi,East,Electronics,Medium,7,37578.94,Gold,2023-07-18,Y,2024-01-01
U1119,Myra Das,myra.das44@email.com,9429233929,Kochi,South,Clothing,Medium,6,33821.88,Gold,2022-09-15,Y,2024-01-01
U1120,Vihaan Roy,vihaan.roy50@email.com,9228370927,Jaipur,North,Clothing,Low,4,36286.27,Gold,2023-07-03,Y,2024-01-01
U1121,Ishaan Mehta,ishaan.mehta45@email.com,9878017216,Guwahati,East,Electronics,Medium,5,44443.14,Gold,2023-08-27,Y,2024-01-01
U1122,Vihaan Mehta,vihaan.mehta39@email.com,9487493096,Hyderabad,South,Electronics,High,4,18574.18,Silver,2022-07-03,Y,2024-01-01
U1123,Aarav Das,aarav.das26@email.com,9394539550,Ranchi,East,Electronics,High,7,112810.17,Platinum,2022-02-16,Y,2024-01-01
U1124,Rohan Nair,rohan.nair91@email.com,9908304440,Jaipur,North,Clothing,Medium,3,40745.45,Gold,2023-05-18,Y,2024-01-01
U1125,Nisha Sharma,nisha.sharma46@email.com,9604011128,Nagpur,West,Books,High,4,28388.56,Gold,2023-05-06,N,2024-01-01
U1126,Aadhya Joshi,aadhya.joshi42@email.com,9612957813,Bengaluru,South,Electronics,Medium,6,38478.65,Gold,2022-04-27,Y,2024-01-01
U1127,Riya Iyer,riya.iyer83@email.com,9775862179,Mumbai,West,Electronics,Medium,10,70987.42,Platinum,2023-12-04,Y,2024-01-01
U1128,Arjun Kumar,arjun.kumar48@email.com,9191462297,Coimbatore,South,Electronics,High,2,12396.4,Silver,2022-09-12,Y,2024-01-01
U1129,Rohan Gupta,rohan.gupta86@email.com,9949051496,Ranchi,East,Toys,High,5,73325.73,Platinum,2023-09-26,Y,2024-01-01
U1130,Kavya Pillai,kavya.pillai67@email.com,9575368059,Lucknow,North,Books,Medium,7,29445.69,Gold,2022-11-01,N,2024-01-01
U1131,Diya Pandey,diya.pandey17@email.com,9754586204,Coimbatore,South,Electronics,Low,1,3917.49,Bronze,2022-04-12,Y,2024-01-01
U1132,Amit Mehta,amit.mehta94@email.com,9187174381,Ahmedabad,West,Electronics,Medium,6,62571.83,Platinum,2022-06-10,Y,2024-01-01
U1133,Sai Tiwari,sai.tiwari30@email.com,9102873038,Kolkata,East,Clothing,Medium,3,14781.02,Silver,2023-02-23,N,2024-01-01
U1134,Suresh Mishra,suresh.mishra47@email.com,9135046782,Kochi,South,Furniture,High,2,10227.72,Silver,2022-08-26,Y,2024-01-01
U1135,Suresh Nair,suresh.nair19@email.com,9838073939,Lucknow,North,Furniture,Low,7,75996.73,Platinum,2022-08-28,Y,2024-01-01
U1136,Divya Agarwal,divya.agarwal94@email.com,9963187150,Nagpur,West,Clothing,High,3,32879.68,Gold,2022-07-22,N,2024-01-01
U1137,Vihaan Tiwari,vihaan.tiwari92@email.com,9259976144,Pune,West,Grocery,High,7,65906.04,Platinum,2022-09-30,Y,2024-01-01
U1138,Aditya Verma,aditya.verma49@email.com,9738923667,Jaipur,North,Furniture,Medium,3,19645.91,Silver,2023-08-06,Y,2024-01-01
U1139,Sneha Singh,sneha.singh98@email.com,9426515425,Guwahati,East,Grocery,High,6,50393.26,Platinum,2023-12-18,N,2024-01-01
U1140,Ananya Pillai,ananya.pillai73@email.com,9570040006,Nagpur,West,Furniture,High,5,65712.76,Platinum,2022-03-24,Y,2024-01-01
U1141,Shreya Gupta,shreya.gupta87@email.com,9368830491,Ahmedabad,West,Electronics,Low,5,47672.53,Gold,2022-01-27,Y,2024-01-01
U1142,Krishna Srivastava,krishna.srivastava85@email.com,9122275263,Ranchi,East,Books,High,5,39982.55,Gold,2023-11-20,Y,2024-01-01
U1143,Karan Verma,karan.verma70@email.com,9657233178,Jaipur,North,Books,High,2,13510.0,Silver,2023-10-30,N,2024-01-01
U1144,Tanvi Reddy,tanvi.reddy84@email.com,9568027936,Jaipur,North,Clothing,Low,9,64065.62,Platinum,2023-10-13,N,2024-01-01
U1145,Aditya Iyer,aditya.iyer62@email.com,9457887167,Patna,East,Electronics,Low,7,74761.36,Platinum,2022-11-25,Y,2024-01-01
U1146,Nisha Joshi,nisha.joshi62@email.com,9844826434,Patna,East,Books,Low,5,60444.24,Platinum,2023-05-23,Y,2024-01-01
U1147,Deepak Malhotra,deepak.malhotra14@email.com,9588365604,Nagpur,West,Clothing,Medium,5,60408.23,Platinum,2022-04-01,Y,2024-01-01
U1148,Ananya Bose,ananya.bose61@email.com,9652543518,Kolkata,East,Electronics,High,7,41359.48,Gold,2022-01-02,N,2024-01-01
U1149,Priya Verma,priya.verma76@email.com,9488457631,Bhubaneswar,East,Books,High,6,47848.53,Gold,2023-09-30,N,2024-01-01
U1150,Amit Shah,amit.shah36@email.com,9386749454,Delhi,North,Electronics,Low,5,40484.43,Gold,2023-07-17,Y,2024-01-01
U1151,Tanvi Nair,tanvi.nair99@email.com,9620455331,Guwahati,East,Electronics,High,5,44441.77,Gold,2022-05-05,Y,2024-01-01
U1152,Amit Mishra,amit.mishra30@email.com,9433665422,Bhubaneswar,East,Furniture,Low,4,18776.45,Silver,2023-07-19,Y,2024-01-01
U1153,Rohan Gupta,rohan.gupta38@email.com,9221827951,Mumbai,West,Toys,Low,5,34595.99,Gold,2023-04-18,Y,2024-01-01
U1154,Amit Kumar,,9646397165,Lucknow,North,Clothing,High,3,23483.58,Gold,2023-12-24,Y,2024-01-01
U1155,Priya Iyer,,9590470737,Guwahati,East,Books,High,6,46625.4,Gold,2023-07-19,Y,2024-01-01
U1156,Riya Mehta,riya.mehta75@email.com,9901325519,Nagpur,West,Books,Low,5,35380.32,Gold,2022-05-20,Y,2024-01-01
U1157,Ananya Gupta,ananya.gupta74@email.com,9386874458,Patna,East,Clothing,Low,6,42033.77,Gold,2022-01-03,Y,2024-01-01
U1158,Vijay Nair,vijay.nair84@email.com,9808605988,Agra,North,Books,High,3,3713.84,Bronze,2023-05-17,Y,2024-01-01
U1159,Sneha Tiwari,sneha.tiwari54@email.com,9456954682,Lucknow,North,Clothing,Medium,2,22865.9,Gold,2023-07-20,N,2024-01-01
U1160,Sneha Bose,sneha.bose99@email.com,9356415500,Pune,West,Books,High,3,16795.93,Silver,2023-08-09,N,2024-01-01
U1161,Krishna Gupta,krishna.gupta50@email.com,9899621068,Kolkata,East,Electronics,High,3,21795.87,Gold,2023-04-30,N,2024-01-01
U1162,Riya Srivastava,riya.srivastava73@email.com,9139749508,Chennai,South,Clothing,Medium,3,49790.18,Gold,2022-05-10,Y,2024-01-01
U1163,Nisha Singh,nisha.singh22@email.com,9664735673,Lucknow,North,Clothing,High,5,24461.17,Gold,2023-04-13,Y,2024-01-01
U1164,Vijay Kumar,vijay.kumar93@email.com,9265744099,Lucknow,North,Electronics,Medium,9,65967.59,Platinum,2022-03-18,N,2024-01-01
U1165,Divya Reddy,divya.reddy89@email.com,9843785903,Patna,East,Electronics,Low,9,75630.41,Platinum,2023-02-12,Y,2024-01-01
U1166,Nisha Bose,nisha.bose58@email.com,9440012324,Coimbatore,South,Books,High,3,7497.85,Bronze,2023-10-04,N,2024-01-01
U1167,Nisha Tiwari,nisha.tiwari89@email.com,9173466219,Kolkata,East,Books,High,7,80450.91,Platinum,2022-08-29,Y,2024-01-01
U1168,Krishna Roy,krishna.roy65@email.com,9205702499,Bengaluru,South,Electronics,Medium,7,56748.83,Platinum,2023-10-11,Y,2024-01-01
U1169,Sneha Joshi,sneha.joshi13@email.com,9149382425,Chandigarh,North,Grocery,High,6,55883.01,Platinum,2022-11-29,Y,2024-01-01
U1170,Diya Kapoor,diya.kapoor65@email.com,9256304376,Hyderabad,South,Grocery,High,4,42261.99,Gold,2022-09-08,N,2024-01-01
U1171,Karan Srivastava,karan.srivastava31@email.com,9287979290,Pune,West,Grocery,High,5,17820.3,Silver,2022-03-22,N,2024-01-01
U1172,Nikhil Srivastava,nikhil.srivastava73@email.com,9726160204,Pune,West,Books,High,3,44112.97,Gold,2022-05-27,Y,2024-01-01
U1173,Sneha Agarwal,sneha.agarwal68@email.com,9374154962,Chandigarh,North,Toys,Medium,5,44060.54,Gold,2023-11-14,Y,2024-01-01
U1174,Shreya Shah,shreya.shah96@email.com,9686905284,Patna,East,Books,Low,7,63906.36,Platinum,2022-06-11,Y,2024-01-01
U1175,Sneha Kapoor,sneha.kapoor48@email.com,9786055206,Agra,North,Books,High,6,16627.39,Silver,2023-03-11,Y,2024-01-01
U1176,Sneha Nair,sneha.nair59@email.com,9618840705,Jaipur,North,Clothing,High,4,43332.74,Gold,2022-04-20,Y,2024-01-01
U1177,Riya Pandey,riya.pandey83@email.com,9417690559,Hyderabad,South,Electronics,High,6,62505.79,Platinum,2023-12-18,Y,2024-01-01
U1178,Aarav Srivastava,aarav.srivastava45@email.com,9108695125,Lucknow,North,Books,Low,8,45517.43,Gold,2023-08-03,Y,2024-01-01
U1179,Tanvi Mishra,tanvi.mishra46@email.com,9932945529,Guwahati,East,Clothing,Medium,3,31724.27,Gold,2022-08-24,Y,2024-01-01
U1180,Krishna Agarwal,krishna.agarwal89@email.com,9369108475,Bhubaneswar,East,Books,High,5,45445.66,Gold,2023-11-26,Y,2024-01-01
U1181,Amit Singh,amit.singh49@email.com,9946764061,Delhi,North,Books,Medium,7,57684.77,Platinum,2023-03-28,Y,2024-01-01
U1182,Karan Kapoor,karan.kapoor21@email.com,9416872439,Chennai,South,Electronics,High,4,39165.48,Gold,2022-12-01,N,2024-01-01
U1183,Sai Mehta,sai.mehta79@email.com,9492836532,Pune,West,Books,High,2,21407.77,Gold,2023-06-28,Y,2024-01-01
U1184,Meera Joshi,meera.joshi71@email.com,9965960427,Chandigarh,North,Clothing,High,7,25301.97,Gold,2022-10-30,Y,2024-01-01
U1185,Divya Singh,divya.singh19@email.com,9251136695,Guwahati,East,Books,Low,4,47699.96,Gold,2022-08-20,N,2024-01-01
U1186,Nisha Tiwari,nisha.tiwari21@email.com,9948988297,Ahmedabad,West,Grocery,High,3,29075.51,Gold,2023-02-09,Y,2024-01-01
U1187,Ananya Tiwari,ananya.tiwari68@email.com,9495765839,Delhi,North,Clothing,High,7,57295.28,Platinum,2023-11-20,Y,2024-01-01
U1188,Karan Malhotra,karan.malhotra23@email.com,9824600232,Hyderabad,South,Clothing,Medium,8,43264.44,Gold,2022-08-28,N,2024-01-01
